text,intent,emotion
chào shop,GREETING,FRIENDLY
xin chào shop,GREETING,FRIENDLY
shop ơi tư vấn giúp mình với,GREETING,FRIENDLY
hello shop,GREETING,FRIENDLY
hi shop,GREETING,FRIENDLY
alo shop còn hoạt động không,GREETING,FRIENDLY
shop ơi mình cần hỗ trợ,GREETING,FRIENDLY
chào bạn,GREETING,FRIENDLY
em ơi tư vấn giúp anh với,GREETING,FRIENDLY
chị ơi shop còn online không,GREETING,FRIENDLY

tôi muốn tìm áo khoác,PRODUCT_RECOMMENDATION,NEUTRAL
mình muốn mua áo thun cotton,PRODUCT_RECOMMENDATION,NEUTRAL
shop có áo khoác xanh không,PRODUCT_RECOMMENDATION,NEUTRAL
tôi cần quần jean nam,PRODUCT_RECOMMENDATION,NEUTRAL
có váy đi chơi không shop,PRODUCT_RECOMMENDATION,NEUTRAL
tư vấn cho tôi áo sơ mi đi làm,PRODUCT_RECOMMENDATION,NEUTRAL
shop có áo cotton đi học dưới 300k không,PRODUCT_RECOMMENDATION,NEUTRAL
mình muốn tìm áo khoác dưới 500k,PRODUCT_RECOMMENDATION,NEUTRAL
có quần jean màu xanh size l không,PRODUCT_RECOMMENDATION,NEUTRAL
tôi muốn mua blazer màu be,PRODUCT_RECOMMENDATION,NEUTRAL
shop có giày nam đi làm không,PRODUCT_RECOMMENDATION,NEUTRAL
tìm giúp tôi áo form rộng,PRODUCT_RECOMMENDATION,NEUTRAL
mình cần áo mặc đi học,PRODUCT_RECOMMENDATION,NEUTRAL
có sản phẩm nào phù hợp đi chơi không,PRODUCT_RECOMMENDATION,NEUTRAL
gợi ý cho tôi áo khoác denim,PRODUCT_RECOMMENDATION,NEUTRAL

phối đồ đi chơi giúp tôi,OUTFIT_SUGGESTION,NEUTRAL
mình muốn phối đồ đi làm,OUTFIT_SUGGESTION,NEUTRAL
gợi ý outfit đi học,OUTFIT_SUGGESTION,NEUTRAL
phối set đồ nam đơn giản,OUTFIT_SUGGESTION,NEUTRAL
mặc gì đi cà phê cuối tuần,OUTFIT_SUGGESTION,NEUTRAL
tư vấn outfit dự tiệc nhẹ,OUTFIT_SUGGESTION,NEUTRAL
phối áo khoác denim với quần gì,OUTFIT_SUGGESTION,NEUTRAL
mình muốn mặc phong cách tối giản,OUTFIT_SUGGESTION,NEUTRAL
gợi ý set đồ nữ đi chơi,OUTFIT_SUGGESTION,NEUTRAL
áo sơ mi linen phối với gì đẹp,OUTFIT_SUGGESTION,NEUTRAL

cho tôi bảng size,SIZE_SUGGESTION,NEUTRAL
tư vấn size giúp tôi,SIZE_SUGGESTION,NEUTRAL
cao 170 nặng 60 mặc size gì,SIZE_SUGGESTION,NEUTRAL
mình 60kg mặc áo size nào,SIZE_SUGGESTION,NEUTRAL
cao 165 nặng 50 mặc size m được không,SIZE_SUGGESTION,NEUTRAL
áo khoác form rộng nên chọn size nào,SIZE_SUGGESTION,NEUTRAL
quần jean size l có vừa không,SIZE_SUGGESTION,NEUTRAL
mình cao 172 nặng 68kg,SIZE_SUGGESTION,NEUTRAL
cho mình xin bảng size áo thun,SIZE_SUGGESTION,NEUTRAL
mặc size nào cho áo sơ mi linen,SIZE_SUGGESTION,NEUTRAL

tôi muốn kiểm tra đơn hàng,ORDER_TRACKING,NEUTRAL
đơn hàng của tôi tới đâu rồi,ORDER_TRACKING,NEUTRAL
kiểm tra giúp tôi mã đơn ORD-1234,ORDER_TRACKING,NEUTRAL
mã đơn ORD-5678 đang ở đâu,ORDER_TRACKING,NEUTRAL
đơn hàng bao giờ giao,ORDER_TRACKING,NEUTRAL
shop kiểm tra đơn giúp mình,ORDER_TRACKING,NEUTRAL
tôi đặt hàng rồi sao chưa thấy giao,ORDER_TRACKING,COMPLAINT
đơn của tôi bị chậm à,ORDER_TRACKING,COMPLAINT
theo dõi đơn hàng giúp tôi,ORDER_TRACKING,NEUTRAL
đơn hàng có bị hủy không,ORDER_TRACKING,CONFUSED

shop đang có khuyến mãi gì không,PROMOTION,NEUTRAL
có mã giảm giá không shop,PROMOTION,NEUTRAL
hôm nay có sale không,PROMOTION,NEUTRAL
